7/11/2011;Sebastian Korda;Ben Shelton;Hierba;6-3;6-7;3-6;8;6
27/3/2019;Benjamin Bonzi;Sebastian Baez;Hierba;6-7;6-3;4-6;8;10
17/1/2016;John Isner;Christopher O'Connell;Tierra;6-4;1-6;4-6;12;13
26/3/2019;Daniel Altmaier;Hubert Hurkacz;Hierba;6-7;6-2;6-3;6;6
28/11/2017;Jack Draper;Nikoloz Basilashvili;Dura;6-4;6-7;6-3;8;10
10/8/2017;Miomir Kecmanovic;Roman Safiullin;Hierba;6-1;6-7;6-7;11;12
13/8/2019;Marton Fucsovics;Gregoire Barrere;Hierba;6-2;6-4;0-0;13;5
13/12/2014;Ugo Humbert;Pedro Martínez;Tierra;6-7;6-2;2-6;8;10
9/7/2020;Adrian Mannarino;Botic Van de Zandschulp;Dura;1-6;1-6;0-0;3;5
21/10/2013;Jordan Thompson;Quentin Halys;Dura;6-7;6-0;3-6;19;1
26/8/2017;Tommy Paul;Novak Djokovic;Dura;4-6;4-6;0-0;7;22
22/6/2019;Lorenzo Sonego;Roman Safiullin;Tierra;3-6;6-7;0-0;6;7
23/4/2013;Roman Safiullin;Carlos Alcaraz;Hierba;6-7;6-7;0-0;16;14
19/6/2010;Tomas Martin Etcheverry;Cristian Garín;Tierra;6-3;4-6;6-7;11;13
25/10/2012;Arthur Rinderknech;Richard Gasquet;Dura;6-4;3-6;6-0;8;7
9/9/2016;Cristian Garín;Alex de Miñaur;Tierra;3-6;0-6;0-0;13;7
18/7/2018;Lorenzo Musetti;Roman Safiullin;Hierba;6-4;6-2;0-0;16;6
14/10/2012;Jenson Brooksby;Alex de Miñaur;Dura;7-6;6-3;0-0;5;8
18/6/2011;Filip Krajinovic;Diego Schwartzman;Hierba;6-7;6-4;4-6;20;12
16/4/2012;Alexander Zverev;Emil Ruusuvuori;Dura;7-6;6-3;0-0;9;3
26/2/2012;Constant Lestienne;Federico Coria;Tierra;7-6;2-6;7-6;10;7
1/8/2020;Jaume Munar;Grigor Dimitrov;Hierba;6-3;7-6;0-0;9;14
1/4/2014;Mikael Ymer;Mikael Ymer;Tierra;7-6;3-6;6-1;3;5
28/3/2012;Nuno Borges;Fabio Fognini;Tierra;4-6;4-6;0-0;15;13
23/9/2011;Daniil Medvedev;Soon Woo Kwon;Tierra;6-4;6-2;0-0;4;3
6/12/2020;Aslan Karatsev;Albert Ramos Viñolas;Tierra;6-4;6-3;0-0;11;6
9/12/2012;J.J. Wolf;Alexander Bublik;Dura;6-3;6-7;6-7;11;9
17/11/2018;Bernabé Zapata Miralles;Alejandro Davidovich Fokina;Tierra;4-6;6-4;6-1;10;7
3/5/2016;Denis Shapovalov;Yoshihito Nishioka;Tierra;6-4;4-6;6-7;12;12
7/5/2010;Gael Monfils;Laslo Djere;Dura;2-6;6-4;6-2;13;13
21/11/2016;Diego Schwartzman;Richard Gasquet;Dura;2-6;4-6;0-0;19;10
11/12/2012;David Goffin;Maxime Cressy;Hierba;3-6;6-2;6-7;9;10
28/4/2015;Taro Daniel;Christopher O'Connell;Hierba;6-2;6-4;0-0;8;9
2/9/2012;Casper Ruud;Arthur Rinderknech;Dura;7-6;6-7;6-4;13;1
12/8/2013;Lorenzo Musetti;Ben Shelton;Tierra;1-6;2-6;0-0;8;19
2/1/2020;Karen Khachanov;Jaume Munar;Dura;6-2;4-6;2-6;12;2
13/8/2014;Jack Draper;Quentin Halys;Hierba;4-6;7-6;6-7;11;10
12/12/2010;Jenson Brooksby;Roman Safiullin;Tierra;3-6;3-6;0-0;16;20
16/8/2019;Christopher O'Connell;Holger Rune;Tierra;6-7;2-6;0-0;12;6
25/12/2013;Pavel Kotov;Roberto Carballés Baena;Dura;6-7;7-6;4-6;9;5
23/6/2013;Jordan Thompson;Thanasi Kokkinakis;Tierra;4-6;0-6;0-0;11;13
6/7/2014;Botic Van de Zandschulp;Roberto Carballés Baena;Tierra;4-6;3-6;0-0;18;8
4/1/2018;Ugo Humbert;Marin Cilic;Hierba;4-6;6-4;6-7;11;11
2/12/2020;Carlos Alcaraz;Taylor Fritz;Tierra;7-6;3-6;2-6;13;8
8/2/2020;Jaume Munar;Andrey Rublev;Dura;6-7;6-3;2-6;15;8
15/1/2016;Benjamin Bonzi;Diego Schwartzman;Dura;7-6;7-6;0-0;16;15
25/10/2014;Felix Auger-Aliassime;Albert Ramos Viñolas;Tierra;6-3;2-6;4-6;12;12
10/11/2011;John Isner;Sebastian Korda;Hierba;3-6;6-7;0-0;12;10
20/7/2018;Vasek Pospisil;Ben Shelton;Hierba;4-6;6-4;6-4;2;17
21/7/2012;Pavel Kotov;Alex Molcan;Tierra;6-4;6-4;0-0;17;12
24/10/2012;Nick Kyrgios;Richard Gasquet;Tierra;4-6;6-7;0-0;7;16
24/1/2020;Tomas Martin Etcheverry;Vasek Pospisil;Tierra;2-6;2-6;0-0;16;11
12/10/2017;Daniel Elahi Galán;Roberto Carballés Baena;Tierra;6-7;6-2;6-3;9;2
26/1/2014;Alexander Bublik;Bernabé Zapata Miralles;Tierra;6-3;4-6;6-2;11;13
17/2/2016;Borna Coric;Gael Monfils;Dura;4-6;6-7;0-0;7;9
26/3/2014;Nick Kyrgios;Federico Coria;Dura;6-7;3-6;0-0;8;7
24/3/2013;Pavel Kotov;Casper Ruud;Tierra;6-2;7-6;0-0;8;5
13/2/2012;Novak Djokovic;Jiri Lehecka;Hierba;6-7;3-6;0-0;10;5
7/5/2012;Carlos Alcaraz;Gael Monfils;Dura;6-7;2-6;0-0;11;2
20/4/2017;Vasek Pospisil;Taylor Fritz;Dura;6-1;6-4;0-0;10;7
27/5/2010;Albert Ramos Viñolas;Borna Coric;Hierba;6-3;2-6;2-6;14;13
1/7/2010;Federico Coria;Sebastian Baez;Dura;6-1;6-2;0-0;5;17
9/11/2020;Stefanos Tsitsipas;Jaume Munar;Dura;1-6;6-7;0-0;3;10
25/7/2019;Nikoloz Basilashvili;Adrian Mannarino;Tierra;7-6;7-6;0-0;8;17
19/3/2020;Cristian Garín;Tomas Martin Etcheverry;Tierra;6-7;1-6;0-0;13;6
3/2/2016;Roberto Carballés Baena;Cristian Garín;Hierba;6-1;2-6;6-7;5;3
24/2/2012;Pedro Martínez;John Isner;Dura;6-7;6-7;0-0;15;10
10/7/2017;Nikoloz Basilashvili;Tomas Martin Etcheverry;Hierba;4-6;6-7;0-0;4;10
16/3/2017;Andrey Rublev;Quentin Halys;Hierba;7-6;6-4;0-0;19;7
10/7/2014;Alex Molcan;Matteo Berrettini;Hierba;6-3;7-6;0-0;6;9
20/9/2014;Daniel Evans;Ben Shelton;Tierra;2-6;6-2;7-6;11;7
23/3/2018;Nick Kyrgios;Ben Shelton;Tierra;4-6;1-6;0-0;5;7
13/2/2011;Marton Fucsovics;Jack Draper;Dura;3-6;4-6;0-0;11;12
9/8/2016;Brandon Nakashima;Tomas Machac;Dura;7-6;7-6;0-0;16;10
27/5/2010;Novak Djokovic;David Goffin;Tierra;6-7;7-6;7-6;12;7
21/12/2017;Carlos Alcaraz;Cameron Norrie;Dura;6-7;6-4;7-6;10;15
2/3/2019;Andrey Rublev;Quentin Halys;Tierra;6-4;1-6;7-6;15;15
16/11/2010;Filip Krajinovic;Emil Ruusuvuori;Hierba;7-6;7-6;0-0;12;8
3/6/2011;Yoshihito Nishioka;Adrian Mannarino;Tierra;7-6;6-4;0-0;9;7
13/3/2015;David Goffin;Cristian Garín;Hierba;6-3;6-7;7-6;11;9
10/4/2019;Borna Coric;Kamil Majchrzak;Dura;7-6;4-6;6-4;8;5
17/4/2020;Botic Van de Zandschulp;Albert Ramos Viñolas;Hierba;6-4;6-2;0-0;15;10
1/9/2010;Matteo Berrettini;Alex Molcan;Tierra;6-2;2-6;7-6;13;9
14/10/2010;Thanasi Kokkinakis;Roman Safiullin;Tierra;6-7;6-0;3-6;15;14
20/4/2012;Pedro Cachin;Lorenzo Musetti;Hierba;6-7;7-6;6-3;8;10
15/4/2014;Roberto Carballés Baena;Constant Lestienne;Dura;6-3;6-1;0-0;9;9
16/6/2020;Soon Woo Kwon;Jiri Lehecka;Hierba;2-6;2-6;0-0;15;15
27/10/2015;Daniel Altmaier;Pablo Carreño Busta;Hierba;7-6;6-7;4-6;12;15
20/9/2014;Frances Tiafoe;John Isner;Hierba;6-1;6-3;0-0;11;11
12/1/2013;Federico Coria;Daniel Altmaier;Tierra;4-6;6-4;2-6;9;5
24/4/2010;Oscar Otte;Roman Safiullin;Dura;3-6;4-6;0-0;12;4
19/7/2012;Marc-Andrea Huesler;Ugo Humbert;Tierra;7-6;6-7;6-3;11;7
9/9/2020;Nuno Borges;Laslo Djere;Tierra;0-6;6-4;2-6;5;15
19/12/2013;Holger Rune;Tommy Paul;Dura;6-4;2-6;6-7;5;8
8/1/2013;Emil Ruusuvuori;Alex de Miñaur;Tierra;4-6;2-6;0-0;8;11
19/12/2011;Gael Monfils;Pedro Cachin;Tierra;2-6;7-6;7-6;16;14
4/9/2020;Jordan Thompson;Jenson Brooksby;Hierba;6-4;6-3;0-0;12;14
25/4/2020;Mikael Ymer;Jenson Brooksby;Hierba;6-7;6-7;0-0;10;15
25/10/2015;Jannik Sinner;John Isner;Hierba;6-2;4-6;4-6;8;11
21/2/2020;Taro Daniel;Lorenzo Sonego;Tierra;0-6;2-6;0-0;8;6
19/08/2014;Dominic Thiem;Rafael Nadal;Tierra;6-4;2-6;6-0;20;6
19/08/2014;Dominic Thiem;Rafael Nadal;Tierra;6-4;2-6;6-0;20;6
03/04/2011;Novak Djokovic;Carlos Alcaraz;Tierra;7-6;7-6;0-0;19;8
13/03/2011;Roger Federer;Rafael Nadal;Dura;6-0;1-6;6-2;18;20
01/11/2017;Roberto Bautista Agut;Felix Auger-Aliassime;Dura;6-0;0-6;6-1;18;9
04/12/2016;Carlos Alcaraz;Roger Federer;Sintética;2-6;6-2;2-6;0;19
04/05/2018;Carlos Alcaraz;Daniil Medvedev;Tierra;7-6;6-2;0-0;5;1
15/02/2015;Dominic Thiem;Felix Auger-Aliassime;Tierra;6-4;6-3;0-0;3;17
03/02/2018;Roger Federer;Diego Schwartzman;Hierba;1-6;6-2;6-4;20;8
23/10/2020;Stefanos Tsitsipas;Casper Ruud;Tierra;6-7;2-6;0-0;7;11
27/06/2010;Rafael Nadal;Novak Djokovic;Tierra;6-3;6-3;0-0;10;4
09/02/2016;Roberto Bautista Agut;Felix Auger-Aliassime;Dura;6-0;0-6;3-6;14;15
07/11/2017;Diego Schwartzman;Stefanos Tsitsipas;Dura;7-6;6-4;0-0;6;5
07/03/2015;Roger Federer;Novak Djokovic;Sintética;6-2;4-6;6-3;2;3
26/01/2019;Diego Schwartzman;Casper Ruud;Tierra;7-6;6-4;0-0;7;18
22/09/2016;Daniil Medvedev;Roger Federer;Tierra;6-2;6-3;0-0;0;10
22/05/2019;Roger Federer;Casper Ruud;Dura;6-1;3-6;6-0;8;2
29/01/2018;Roberto Bautista Agut;Casper Ruud;Hierba;4-6;6-4;1-6;14;10
14/08/2016;Rafael Nadal;Casper Ruud;Dura;6-4;1-6;1-6;16;16
28/10/2014;Stefanos Tsitsipas;Roberto Bautista Agut;Hierba;2-6;7-6;6-1;18;13
30/08/2016;Carlos Alcaraz;Dominic Thiem;Dura;3-6;1-6;0-0;11;9
28/10/2014;Roberto Bautista Agut;Daniil Medvedev;Sintética;0-6;6-3;6-4;10;3
15/10/2010;Casper Ruud;Roberto Bautista Agut;Hierba;6-0;6-3;0-0;5;17
20/03/2017;Alexander Zverev;Casper Ruud;Sintética;6-2;7-6;0-0;11;2
12/01/2011;Andrey Rublev;Roberto Bautista Agut;Hierba;3-6;6-0;7-6;19;6
03/01/2016;Novak Djokovic;Daniil Medvedev;Tierra;2-6;6-7;0-0;3;4
28/03/2018;Dominic Thiem;Diego Schwartzman;Dura;6-2;6-3;0-0;15;8
04/10/2020;Diego Schwartzman;Stefanos Tsitsipas;Sintética;7-6;7-6;0-0;8;13
04/12/2011;Roberto Bautista Agut;Stefanos Tsitsipas;Dura;6-7;6-7;0-0;13;12
06/01/2014;Roger Federer;Andrey Rublev;Hierba;2-6;0-6;0-0;10;16
20/04/2012;Roger Federer;Dominic Thiem;Dura;6-3;6-4;0-0;13;4
11/07/2020;Carlos Alcaraz;Alexander Zverev;Tierra;0-6;6-7;0-0;8;3
13/10/2016;Novak Djokovic;Alexander Zverev;Tierra;4-6;6-0;6-1;18;9
29/05/2020;Rafael Nadal;Felix Auger-Aliassime;Sintética;6-4;0-6;6-3;20;13
20/09/2010;Carlos Alcaraz;Stefanos Tsitsipas;Sintética;4-6;7-6;1-6;17;1
08/01/2012;Felix Auger-Aliassime;Roger Federer;Tierra;6-7;1-6;0-0;4;20
30/11/2015;Casper Ruud;Novak Djokovic;Dura;7-6;3-6;6-0;19;10
19/05/2018;Andrey Rublev;Alexander Zverev;Sintética;6-1;7-6;0-0;6;14
13/06/2015;Carlos Alcaraz;Andrey Rublev;Tierra;1-6;4-6;0-0;11;12
07/06/2016;Roberto Bautista Agut;Felix Auger-Aliassime;Tierra;6-2;6-4;0-0;2;15
23/08/2018;Daniil Medvedev;Casper Ruud;Dura;3-6;6-0;3-6;2;8
23/09/2018;Dominic Thiem;Stefanos Tsitsipas;Tierra;7-6;6-1;0-0;8;3
16/06/2017;Roberto Bautista Agut;Novak Djokovic;Tierra;7-6;6-1;0-0;10;15
20/11/2016;Felix Auger-Aliassime;Stefanos Tsitsipas;Dura;6-0;0-6;6-2;18;4
26/01/2016;Novak Djokovic;Andrey Rublev;Dura;4-6;6-1;6-3;11;17
09/02/2013;Felix Auger-Aliassime;Diego Schwartzman;Sintética;0-6;6-3;6-4;9;19
06/09/2017;Roger Federer;Daniil Medvedev;Dura;6-2;6-7;6-2;4;19
11/04/2015;Alexander Zverev;Novak Djokovic;Tierra;7-6;4-6;6-1;15;2
22/12/2013;Novak Djokovic;Carlos Alcaraz;Tierra;0-6;6-2;6-7;14;14
16/02/2017;Felix Auger-Aliassime;Daniil Medvedev;Tierra;3-6;6-4;6-3;6;18
09/01/2011;Novak Djokovic;Dominic Thiem;Tierra;6-2;1-6;6-3;19;2
17/07/2020;Andrey Rublev;Felix Auger-Aliassime;Dura;2-6;3-6;0-0;11;13
15/07/2013;Diego Schwartzman;Carlos Alcaraz;Hierba;6-1;1-6;6-7;19;9
07/11/2010;Carlos Alcaraz;Casper Ruud;Tierra;2-6;6-7;0-0;17;19
24/03/2018;Alexander Zverev;Stefanos Tsitsipas;Dura;1-6;6-4;0-6;8;16
24/10/2019;Stefanos Tsitsipas;Novak Djokovic;Tierra;3-6;1-6;0-0;1;5
03/06/2018;Novak Djokovic;Roberto Bautista Agut;Sintética;6-0;1-6;2-6;19;6
29/11/2013;Diego Schwartzman;Andrey Rublev;Sintética;7-6;7-6;0-0;15;7
09/02/2013;Dominic Thiem;Stefanos Tsitsipas;Dura;6-4;6-3;0-0;0;3
18/12/2012;Rafael Nadal;Stefanos Tsitsipas;Dura;2-6;6-0;3-6;18;10
16/12/2020;Novak Djokovic;Alexander Zverev;Hierba;0-6;6-2;6-0;1;1
23/05/2018;Dominic Thiem;Diego Schwartzman;Tierra;6-3;3-6;6-1;4;17
20/11/2012;Casper Ruud;Novak Djokovic;Hierba;2-6;7-6;6-4;9;16
15/01/2019;Novak Djokovic;Rafael Nadal;Hierba;1-6;6-4;2-6;6;15
26/06/2013;Carlos Alcaraz;Diego Schwartzman;Tierra;6-2;6-1;0-0;8;8
20/11/2014;Diego Schwartzman;Roberto Bautista Agut;Tierra;1-6;6-7;0-0;12;14
14/06/2017;Andrey Rublev;Daniil Medvedev;Sintética;6-3;6-7;7-6;17;14
24/10/2020;Roberto Bautista Agut;Novak Djokovic;Dura;6-4;6-3;0-0;12;18
03/05/2015;Novak Djokovic;Casper Ruud;Dura;2-6;6-3;6-3;0;1
30/05/2012;Alexander Zverev;Novak Djokovic;Tierra;6-3;2-6;6-4;20;18
01/02/2013;Novak Djokovic;Alexander Zverev;Sintética;6-2;6-7;6-0;8;3
08/10/2011;Casper Ruud;Andrey Rublev;Hierba;6-3;3-6;6-4;15;3
04/11/2011;Rafael Nadal;Felix Auger-Aliassime;Hierba;7-6;6-4;0-0;0;20
29/09/2016;Rafael Nadal;Felix Auger-Aliassime;Tierra;6-2;6-2;0-0;14;5
27/12/2017;Diego Schwartzman;Daniil Medvedev;Sintética;3-6;2-6;0-0;16;15
30/07/2014;Roberto Bautista Agut;Felix Auger-Aliassime;Dura;6-2;0-6;6-3;10;3
28/08/2010;Andrey Rublev;Daniil Medvedev;Hierba;6-7;6-3;0-6;4;16
23/12/2011;Andrey Rublev;Alexander Zverev;Sintética;3-6;6-3;6-3;4;4
22/11/2010;Dominic Thiem;Andrey Rublev;Hierba;7-6;4-6;6-4;16;16
01/05/2018;Diego Schwartzman;Alexander Zverev;Tierra;6-0;7-6;0-0;9;16
28/02/2017;Dominic Thiem;Andrey Rublev;Dura;3-6;3-6;0-0;5;9
05/12/2017;Carlos Alcaraz;Casper Ruud;Dura;6-3;7-6;0-0;20;5
26/10/2010;Rafael Nadal;Novak Djokovic;Sintética;6-4;3-6;6-1;6;10
17/09/2015;Felix Auger-Aliassime;Rafael Nadal;Dura;7-6;6-1;0-0;1;11
10/03/2012;Diego Schwartzman;Roger Federer;Tierra;6-0;0-6;6-0;6;16
29/07/2013;Daniil Medvedev;Casper Ruud;Dura;6-1;2-6;4-6;1;16
24/09/2010;Roger Federer;Andrey Rublev;Dura;6-3;6-1;0-0;20;2
05/03/2016;Rafael Nadal;Novak Djokovic;Tierra;6-2;6-3;0-0;19;9
22/06/2016;Stefanos Tsitsipas;Dominic Thiem;Tierra;6-0;6-0;0-0;5;13
29/07/2017;Stefanos Tsitsipas;Casper Ruud;Dura;2-6;4-6;0-0;17;12
11/02/2018;Rafael Nadal;Roberto Bautista Agut;Tierra;3-6;1-6;0-0;8;10
26/11/2010;Daniil Medvedev;Dominic Thiem;Hierba;6-4;6-2;0-0;0;4
17/01/2016;Rafael Nadal;Roberto Bautista Agut;Dura;7-6;6-7;3-6;12;19
04/06/2015;Carlos Alcaraz;Andrey Rublev;Dura;1-6;6-2;3-6;13;6
28/09/2010;Novak Djokovic;Roger Federer;Dura;4-6;1-6;0-0;19;4
29/01/2017;Diego Schwartzman;Roberto Bautista Agut;Dura;6-2;1-6;2-6;15;2
10/10/2014;Stefanos Tsitsipas;Roger Federer;Tierra;6-2;2-6;7-6;17;20
11/06/2019;Daniil Medvedev;Dominic Thiem;Dura;6-3;6-7;4-6;13;7
28/01/2015;Stefanos Tsitsipas;Casper Ruud;Sintética;3-6;6-1;3-6;9;18
08/08/2015;Dominic Thiem;Rafael Nadal;Tierra;7-6;6-4;0-0;7;16
03/07/2013;Stefanos Tsitsipas;Alexander Zverev;Tierra;4-6;6-7;0-0;16;20